{'generations': 100, 'population_size': 50, 'breeding_rate': 0.4, 'crossover_rate': 0.8, 'mutation_rate': 0.15, 'mutation_range': 0.2, 'select_parents_stochastically': True}
FITNESS - train_best: 10.81, train_mean: 15.68, test_best: 3.47, test_mean: 5.01
FITNESS - train_best: 10.81, train_mean: 16.58, test_best: 3.47, test_mean: 5.30
FITNESS - train_best: 10.81, train_mean: 21.00, test_best: 3.47, test_mean: 6.94
FITNESS - train_best: 10.73, train_mean: 15.77, test_best: 3.44, test_mean: 5.07
FITNESS - train_best: 10.73, train_mean: 17.59, test_best: 3.44, test_mean: 5.75
FITNESS - train_best: 10.73, train_mean: 14.82, test_best: 3.44, test_mean: 4.73
FITNESS - train_best: 10.73, train_mean: 17.90, test_best: 3.44, test_mean: 5.82
FITNESS - train_best: 10.73, train_mean: 16.51, test_best: 3.44, test_mean: 5.32
FITNESS - train_best: 10.73, train_mean: 15.84, test_best: 3.34, test_mean: 5.16
FITNESS - train_best: 10.33, train_mean: 19.03, test_best: 3.21, test_mean: 6.21
FITNESS - train_best: 10.33, train_mean: 16.25, test_best: 3.21, test_mean: 5.26
FITNESS - train_best: 10.33, train_mean: 13.26, test_best: 3.21, test_mean: 4.20
FITNESS - train_best: 10.33, train_mean: 14.11, test_best: 3.19, test_mean: 4.50
FITNESS - train_best: 10.29, train_mean: 13.47, test_best: 3.19, test_mean: 4.28
FITNESS - train_best: 10.29, train_mean: 15.03, test_best: 3.19, test_mean: 4.79
FITNESS - train_best: 10.29, train_mean: 18.94, test_best: 3.19, test_mean: 6.27
FITNESS - train_best: 10.29, train_mean: 20.40, test_best: 3.19, test_mean: 6.74
FITNESS - train_best: 10.29, train_mean: 14.64, test_best: 3.19, test_mean: 4.63
FITNESS - train_best: 10.29, train_mean: 16.08, test_best: 3.19, test_mean: 5.22
FITNESS - train_best: 10.29, train_mean: 13.87, test_best: 3.19, test_mean: 4.38
FITNESS - train_best: 10.29, train_mean: 14.98, test_best: 3.19, test_mean: 4.81
FITNESS - train_best: 10.29, train_mean: 16.92, test_best: 3.19, test_mean: 5.42
FITNESS - train_best: 10.29, train_mean: 18.70, test_best: 3.19, test_mean: 6.15
FITNESS - train_best: 10.29, train_mean: 12.42, test_best: 3.19, test_mean: 3.95
FITNESS - train_best: 10.29, train_mean: 15.40, test_best: 3.19, test_mean: 5.02
FITNESS - train_best: 10.29, train_mean: 14.05, test_best: 3.19, test_mean: 4.47
FITNESS - train_best: 10.29, train_mean: 15.23, test_best: 3.19, test_mean: 4.91
FITNESS - train_best: 10.29, train_mean: 17.48, test_best: 3.19, test_mean: 5.73
FITNESS - train_best: 10.15, train_mean: 15.34, test_best: 3.15, test_mean: 4.87
FITNESS - train_best: 10.15, train_mean: 13.51, test_best: 3.15, test_mean: 4.28
record 1	 prediction:    36421	actual:    20296	difference:    79%
record 2	 prediction:    22594	actual:     6112	difference:   269%
record 3	 prediction:    37491	actual:    12523	difference:   199%
record 4	 prediction:    46319	actual:    39556	difference:    17%
record 5	 prediction:    14818	actual:     1712	difference:   765%
record 6	 prediction:    15717	actual:     1635	difference:   860%
record 7	 prediction:    33586	actual:    28923	difference:    16%
record 8	 prediction:    42143	actual:    38415	difference:     9%
record 9	 prediction:    17725	actual:     5152	difference:   244%
record 10	 prediction:    41620	actual:    12982	difference:   220%
{'generations': 100, 'population_size': 50, 'breeding_rate': 0.4, 'crossover_rate': 0.8, 'mutation_rate': 0.15, 'mutation_range': 0.2, 'select_parents_stochastically': False}
FITNESS - train_best: 695.25, train_mean: 3187.28, test_best: 234.32, test_mean: 1096.25
FITNESS - train_best: 695.25, train_mean: 2318.58, test_best: 234.32, test_mean: 800.35
FITNESS - train_best: 549.81, train_mean: 1647.31, test_best: 186.86, test_mean: 566.21
FITNESS - train_best: 223.63, train_mean: 1160.60, test_best: 73.74, test_mean: 395.10
FITNESS - train_best: 184.67, train_mean: 807.22, test_best: 60.58, test_mean: 275.82
FITNESS - train_best: 114.79, train_mean: 556.20, test_best: 39.40, test_mean: 189.07
FITNESS - train_best: 114.79, train_mean: 361.46, test_best: 39.40, test_mean: 122.18
FITNESS - train_best: 59.37, train_mean: 236.82, test_best: 20.91, test_mean: 79.43
FITNESS - train_best: 55.09, train_mean: 172.43, test_best: 19.54, test_mean: 58.00
FITNESS - train_best: 34.20, train_mean: 120.46, test_best: 11.81, test_mean: 40.67
FITNESS - train_best: 33.32, train_mean: 91.50, test_best: 11.81, test_mean: 31.04
FITNESS - train_best: 32.84, train_mean: 65.59, test_best: 11.81, test_mean: 22.33
FITNESS - train_best: 32.84, train_mean: 58.95, test_best: 11.81, test_mean: 21.05
FITNESS - train_best: 26.35, train_mean: 55.97, test_best: 9.96, test_mean: 20.10
FITNESS - train_best: 24.16, train_mean: 46.93, test_best: 8.90, test_mean: 17.25
FITNESS - train_best: 24.16, train_mean: 46.13, test_best: 8.90, test_mean: 17.19
FITNESS - train_best: 24.16, train_mean: 41.66, test_best: 8.90, test_mean: 15.44
FITNESS - train_best: 22.72, train_mean: 38.50, test_best: 8.16, test_mean: 14.15
FITNESS - train_best: 22.72, train_mean: 37.01, test_best: 8.16, test_mean: 13.45
FITNESS - train_best: 22.72, train_mean: 30.49, test_best: 8.16, test_mean: 11.12
FITNESS - train_best: 21.09, train_mean: 31.72, test_best: 8.16, test_mean: 11.60
FITNESS - train_best: 20.97, train_mean: 31.81, test_best: 7.84, test_mean: 11.64
FITNESS - train_best: 15.06, train_mean: 27.01, test_best: 5.90, test_mean: 9.86
FITNESS - train_best: 15.06, train_mean: 27.17, test_best: 5.90, test_mean: 9.90
FITNESS - train_best: 15.06, train_mean: 27.26, test_best: 5.90, test_mean: 10.02
FITNESS - train_best: 14.00, train_mean: 25.58, test_best: 5.66, test_mean: 9.49
FITNESS - train_best: 14.00, train_mean: 28.45, test_best: 5.66, test_mean: 10.58
FITNESS - train_best: 14.00, train_mean: 26.48, test_best: 5.66, test_mean: 9.83
FITNESS - train_best: 14.00, train_mean: 21.97, test_best: 5.66, test_mean: 8.23
