{'generations': 200, 'population_size': 50, 'breeding_rate': 0.4, 'crossover_rate': 0.8, 'mutation_rate': 0.15, 'mutation_range': 0.2, 'select_parents_stochastically': True}
FITNESS - train_best: 1516.72, train_mean: 4613.60, test_best: 493.34, test_mean: 1567.35
FITNESS - train_best: 1493.24, train_mean: 3409.33, test_best: 469.79, test_mean: 1152.25
FITNESS - train_best: 1303.01, train_mean: 2733.09, test_best: 448.99, test_mean: 919.38
FITNESS - train_best: 1300.00, train_mean: 2222.24, test_best: 436.49, test_mean: 747.37
FITNESS - train_best: 770.67, train_mean: 1936.32, test_best: 260.89, test_mean: 647.35
FITNESS - train_best: 770.67, train_mean: 1582.47, test_best: 260.89, test_mean: 532.15
FITNESS - train_best: 687.67, train_mean: 1344.17, test_best: 234.78, test_mean: 451.84
FITNESS - train_best: 675.46, train_mean: 1184.86, test_best: 234.78, test_mean: 401.40
FITNESS - train_best: 497.18, train_mean: 1001.23, test_best: 172.76, test_mean: 339.71
FITNESS - train_best: 339.48, train_mean: 866.96, test_best: 97.73, test_mean: 293.72
FITNESS - train_best: 339.48, train_mean: 738.01, test_best: 97.73, test_mean: 250.66
FITNESS - train_best: 339.48, train_mean: 657.33, test_best: 97.73, test_mean: 222.91
FITNESS - train_best: 301.74, train_mean: 592.56, test_best: 93.05, test_mean: 199.77
FITNESS - train_best: 141.09, train_mean: 494.27, test_best: 45.24, test_mean: 163.75
FITNESS - train_best: 122.63, train_mean: 392.52, test_best: 41.39, test_mean: 127.82
FITNESS - train_best: 122.63, train_mean: 343.26, test_best: 41.39, test_mean: 110.31
FITNESS - train_best: 122.63, train_mean: 303.66, test_best: 41.39, test_mean: 96.23
FITNESS - train_best: 89.11, train_mean: 264.06, test_best: 31.24, test_mean: 84.92
FITNESS - train_best: 32.07, train_mean: 217.92, test_best: 9.59, test_mean: 69.90
FITNESS - train_best: 32.07, train_mean: 174.62, test_best: 9.59, test_mean: 56.32
FITNESS - train_best: 32.07, train_mean: 148.12, test_best: 9.59, test_mean: 48.27
FITNESS - train_best: 32.07, train_mean: 124.16, test_best: 9.59, test_mean: 40.84
FITNESS - train_best: 32.07, train_mean: 100.73, test_best: 9.59, test_mean: 32.88
FITNESS - train_best: 32.07, train_mean: 79.59, test_best: 9.59, test_mean: 25.84
FITNESS - train_best: 32.07, train_mean: 64.72, test_best: 9.59, test_mean: 21.27
FITNESS - train_best: 29.31, train_mean: 54.48, test_best: 9.26, test_mean: 17.53
FITNESS - train_best: 25.80, train_mean: 49.21, test_best: 7.92, test_mean: 15.65
FITNESS - train_best: 25.80, train_mean: 48.34, test_best: 7.92, test_mean: 15.70
FITNESS - train_best: 25.80, train_mean: 41.67, test_best: 7.92, test_mean: 13.22
FITNESS - train_best: 25.49, train_mean: 38.26, test_best: 7.52, test_mean: 12.05
FITNESS - train_best: 25.49, train_mean: 38.08, test_best: 7.52, test_mean: 11.96
FITNESS - train_best: 25.49, train_mean: 36.54, test_best: 7.52, test_mean: 11.58
FITNESS - train_best: 25.49, train_mean: 33.42, test_best: 7.52, test_mean: 10.38
FITNESS - train_best: 21.76, train_mean: 38.41, test_best: 6.52, test_mean: 12.02
FITNESS - train_best: 20.54, train_mean: 32.60, test_best: 6.09, test_mean: 10.09
FITNESS - train_best: 20.54, train_mean: 32.32, test_best: 6.09, test_mean: 10.19
FITNESS - train_best: 20.54, train_mean: 35.54, test_best: 6.09, test_mean: 11.19
FITNESS - train_best: 16.70, train_mean: 30.87, test_best: 4.91, test_mean: 9.57
FITNESS - train_best: 16.70, train_mean: 26.77, test_best: 4.91, test_mean: 8.26
FITNESS - train_best: 16.70, train_mean: 25.82, test_best: 4.91, test_mean: 7.98
FITNESS - train_best: 16.70, train_mean: 26.50, test_best: 4.91, test_mean: 8.19
FITNESS - train_best: 16.70, train_mean: 32.94, test_best: 4.91, test_mean: 10.48
FITNESS - train_best: 16.70, train_mean: 23.64, test_best: 4.91, test_mean: 7.32
FITNESS - train_best: 16.70, train_mean: 25.75, test_best: 4.91, test_mean: 8.05
FITNESS - train_best: 16.70, train_mean: 27.32, test_best: 4.91, test_mean: 8.66
FITNESS - train_best: 16.70, train_mean: 27.06, test_best: 4.91, test_mean: 8.55
FITNESS - train_best: 16.70, train_mean: 25.38, test_best: 4.91, test_mean: 7.92
FITNESS - train_best: 14.42, train_mean: 23.32, test_best: 4.79, test_mean: 7.32
FITNESS - train_best: 13.37, train_mean: 28.63, test_best: 4.31, test_mean: 9.06
FITNESS - train_best: 13.37, train_mean: 23.03, test_best: 4.31, test_mean: 7.33
FITNESS - train_best: 13.37, train_mean: 23.76, test_best: 4.31, test_mean: 7.55
FITNESS - train_best: 13.06, train_mean: 22.12, test_best: 3.83, test_mean: 6.96
FITNESS - train_best: 13.06, train_mean: 21.53, test_best: 3.83, test_mean: 6.86
FITNESS - train_best: 12.83, train_mean: 20.44, test_best: 3.83, test_mean: 6.50
FITNESS - train_best: 12.83, train_mean: 21.11, test_best: 3.83, test_mean: 6.65
FITNESS - train_best: 12.83, train_mean: 17.69, test_best: 3.83, test_mean: 5.53
FITNESS - train_best: 12.83, train_mean: 19.31, test_best: 3.83, test_mean: 6.11
FITNESS - train_best: 12.50, train_mean: 21.29, test_best: 3.83, test_mean: 6.96
FITNESS - train_best: 12.50, train_mean: 23.79, test_best: 3.83, test_mean: 7.82
FITNESS - train_best: 11.78, train_mean: 17.97, test_best: 3.83, test_mean: 5.84
FITNESS - train_best: 11.56, train_mean: 18.21, test_best: 3.63, test_mean: 5.85
